OID_,AREA,PERIMETER,NBO_,NBO_ID,NAME,COMMPLAN,SHARED,COALIT,CHECK,HORZ_VERT,AREASQMI
71,11898534.000000000000000,18527.287000000000262,73.000000000000000,254.000000000000000,ARLINGTON HEIGHTS/SYLVAN-HIGHLANDS, ,Y,NWNW, ,HORZ,0.426799462677000
72,32168906.000000000000000,24474.978999999999360,74.000000000000000,140.000000000000000,BUCKMAN, , ,SEUL,y,HORZ,1.153896132270000
73,26280450.000000000000000,20690.018000000000029,75.000000000000000,142.000000000000000,DOWNTOWN, , ,NWNW,y,VERT,0.942677663426000
74,44555400.000000000000000,27359.315999999998894,76.000000000000000,143.000000000000000,MT. TABOR, , ,SEUL,y,HORZ,1.598198703920000
75,15783221.000000000000000,20573.979999999999563,77.000000000000000,144.000000000000000,SYLVAN-HIGHLANDS, , ,NWNW,y,HORZ,0.566142876014000
76,468025.500000000000000,3059.771999999999935,78.000000000000000,148.000000000000000,GOOSE HOLLOW/SOUTHWEST HILLS, ,Y,NWNW/SWNI,c,HORZ,0.016788038177400
77,2177924.250000000000000,11463.161000000000058,79.000000000000000,148.000000000000000,GOOSE HOLLOW/SOUTHWEST HILLS, ,Y,NWNW/SWNI,c,HORZ,0.078121973716600
78,64615120.000000000000000,60942.593999999997322,80.000000000000000,148.000000000000000,SOUTHWEST HILLS, , ,SWNI,c,HORZ,2.317739169560000
79,16656179.000000000000000,17919.372999999999593,81.000000000000000,147.000000000000000,SUNNYSIDE, , ,SEUL,y,HORZ,0.597455814819000
80,1304117.625000000000000,4587.775999999999840,82.000000000000000,248.000000000000000,HAZELWOOD/MILL PARK,Outer SE,Y,EPNO,y,HORZ,0.046778595921400
81,7413754.000000000000000,13398.724000000000160,83.000000000000000,148.000000000000000,SYLVAN-HIGHLANDS/SOUTHWEST HILLS, ,Y,NWNW/SWNI,c,HORZ,0.265930771045000
82,28203258.000000000000000,22508.129000000000815,84.000000000000000,149.000000000000000,MILL PARK,Outer SE, ,EPNO,y,HORZ,1.011648665480000
83,82236040.000000000000000,44999.722999999998137,85.000000000000000,151.000000000000000,CENTENNIAL,Outer SE, ,EPNO,y,VERT,2.949800367170000
84,36257812.000000000000000,26749.729999999999563,86.000000000000000,153.000000000000000,HOSFORD-ABERNETHY, , ,SEUL,y,HORZ,1.300564846470000
85,35452572.000000000000000,24476.740000000001601,87.000000000000000,154.000000000000000,RICHMOND, , ,SEUL,y,HORZ,1.271680980590000
86,47466712.000000000000000,44728.785000000003492,88.000000000000000,157.000000000000000,SOUTH PORTLAND, , ,SWNI,y,VERT,1.702627265610000
