OID_,OBJECTID,NAME,COMMPLAN,SHARED,COALIT,HORZ_VERT,MAPLABEL,ID,Shape_Leng,Shape_Area,AREASQMI
23,24,NORTH TABOR, , ,SEUL,HORZ,North Tabor,16,10543.461997435802914,3088448.672451985999942,0.585343542723000
24,25,OLD TOWN, , ,NWNW,VERT,Old Town,65,5513.482847504928941,1481056.375906505389139,0.280706125203000
25,26,GLENFAIR, , ,EPCO,VERT,Glenfair,32,5622.112398193591616,1674190.170651209773496,0.317340177093000
26,27,BUCKMAN, , ,SEUL,HORZ,Buckman,14,10640.788825718123917,6087635.313227534294128,1.154119055320000
27,28,PORTLAND DOWNTOWN, , ,NWNW,HORZ,Portland Downtown,24,9000.998736829626068,4972643.691077004186809,0.942841986718000
28,29,MT. TABOR, , ,SEUL,HORZ,Mt. Tabor,80,11899.835823195151534,8430676.743929902091622,1.598502124680000
29,30,SUNNYSIDE, , ,SEUL,HORZ,Sunnyside,86,7789.632386755199150,3151877.613825037144125,0.597584360141000
30,31,SOUTH PORTLAND,SOUTHWEST, ,SWCS,VERT,South Portland,20,19462.311384527853079,8973133.680768625810742,1.702931891070000
31,32,HOMESTEAD,SOUTHWEST, ,SWCS,HORZ,Homestead,42,11396.232006272604849,4280944.198474992066622,0.812241052423000
32,33,SOUTH TABOR,OUTER SE, ,SEUL,HORZ,South Tabor,60,9167.134041120069014,4213622.723921580240130,0.799289739071000
33,34,BROOKLYN, , ,SEUL,HORZ,Brooklyn,13,16068.130115428639328,9047680.842839576303959,1.716953429940000
34,35,CRESTON-KENILWORTH, , ,SEUL,HORZ,Creston-Kenilworth,21,10476.593780403658457,4230284.589970882982016,0.802670819825000
35,36,HILLSDALE,SOUTHWEST, ,SWCS,VERT,Hillsdale,39,18404.652845084732689,9865295.976863764226437,1.872766777260000
36,37,FOSTER-POWELL,OUTER SE, ,SEUL,HORZ,Foster-Powell,30,10333.371548074112070,4689851.330362821929157,0.889910328795000
37,38,MT. SCOTT-ARLETA,OUTER SE, ,SEUL,HORZ,Mt. Scott-Arleta,59,9080.136680240511851,4551294.865914162248373,0.863943057459000
38,39,SELLWOOD-MORELAND, , ,SEUL,VERT,Sellwood-Moreland,78,15590.292994830282623,10965311.822883697226644,2.082308868200000
39,40,HAYHURST,SOUTHWEST, ,SWCS,HORZ,Hayhurst,36,12445.215573590525310,6017254.395469337701797,1.142244086140000
40,41,MAPLEWOOD,SOUTHWEST, ,SWCS,HORZ,Maplewood,54,8008.283899290084264,3260597.706830796319991,0.619152732272000
41,42,MULTNOMAH,SOUTHWEST, ,SWCS,HORZ,Multnomah,61,13290.653702626694212,7598194.066372258588672,1.443088327470000
42,43,BRENTWOOD-DARLINGTON,OUTER SE, ,SEUL,HORZ,Brentwood-Darlington,10,13895.127374903142481,9229278.176380595192313,1.752729625950000
43,44,SOUTH BURLINGAME,SOUTHWEST, ,SWCS,HORZ,South Burlingame,79,7379.534736883650112,2238744.628326975740492,0.425191158994000
44,45,MC UNCLAIMED #11,SOUTHWEST, ,UNCLAIMED,NA,MC Unclaimed #11,0,9369.940810503952889,3318922.201717528514564,0.630501077452000
