OID_,GEOID,INTPTLAT,INTPTLON,NAME_1,COALIT,COUNT,SUM_SQ_FT
3746,410510082013008,+45.5069026,-122.5632924,HAZELWOOD,EPNO,45.000000000000000,88725.000000000000000
3747,410510095023022,+45.5532304,-122.5245822,ARGAY,EPNO,9.000000000000000,21356.000000000000000
3748,410510093013000,+45.5207811,-122.4969608,GLENFAIR,EPNO,1.000000000000000,131.000000000000000
3749,410510094002000,+45.5401871,-122.5255661,RUSSELL,EPNO,57.000000000000000,121018.000000000000000
3750,410510106003025,+45.5195437,-122.6731469,DOWNTOWN,NWNW,1.000000000000000,8771.000000000000000
3751,410510078002023,+45.5490144,-122.5586349,MAYWOOD PARK, ,23.000000000000000,32341.000000000000000
3752,410510102003114,+45.5528726,-122.5056843,WILKES,EPNO,14.000000000000000,251006.000000000000000
3753,410510087002013,+45.4705909,-122.6086713,BRENTWOOD-DARLINGTON,SEUL,42.000000000000000,39661.000000000000000
3754,410510039021016,+45.5708392,-122.6960475,ARBOR LODGE,NPNS,21.000000000000000,34373.000000000000000
3755,410510072011003,+45.6229436,-122.6969549,HAYDEN ISLAND,NPNS,7.000000000000000,4004.000000000000000
3756,410510094004028,+45.5415305,-122.5156918,WILKES,EPNO,9.000000000000000,20001.000000000000000
3757,410510008021016,+45.4942421,-122.6026695,FOSTER-POWELL,SEUL,29.000000000000000,25173.000000000000000
3758,410510079002018,+45.5491078,-122.5527614,PARKROSE,EPNO,71.000000000000000,122473.000000000000000
3759,410510081001017,+45.5229902,-122.5444677,HAZELWOOD,EPNO,32.000000000000000,37730.000000000000000
3760,410510080022009,+45.5362134,-122.5439400,PARKROSE HEIGHTS,EPNO,25.000000000000000,36750.000000000000000
3761,410510072021169,+45.6005079,-122.6589732,BRIDGETON,NPNS,17.000000000000000,108102.000000000000000
3762,410510094001003,+45.5416995,-122.5032655,WILKES,EPNO,40.000000000000000,135978.000000000000000
3763,410510029034012,+45.5470930,-122.5745549,MADISON SOUTH,CNN,39.000000000000000,39269.000000000000000
