geoid,intptlat,intptlon
410050201001061,45.427349,-122.69309
410050215001049,45.432213,-122.62575
410050222062022,45.454163,-122.55679
410050222082006,45.456936,-122.51802
410050222062014,45.456547,-122.54371
410050222062031,45.454727,-122.56676
410050222082020,45.456188,-122.52996
410050222081026,45.446972,-122.48935
410050201001059,45.428593,-122.6914
410050201001085,45.427223,-122.6908
410050209001021,45.458828,-122.62768
410050222062016,45.456257,-122.5411
410050222082007,45.458412,-122.51494
410050232012005,45.460449,-122.47144
410050203031000,45.432671,-122.7163
410050203031001,45.432404,-122.71758
410050203031002,45.431313,-122.7168
410050203032008,45.432579,-122.70803
410050222062015,45.45475,-122.54255
410050203041002,45.431667,-122.73894
410050203041003,45.432995,-122.74046
410050203041004,45.433086,-122.74271
410050222011001,45.460743,-122.57546
410050222011002,45.461292,-122.57613
410050222011008,45.460064,-122.57566
410050211001003,45.447353,-122.62671
410050208003014,45.439297,-122.62833
410050216012010,45.452877,-122.59176
410050216014004,45.460972,-122.59258
410050216013006,45.454021,-122.59759
410050216014019,45.459713,-122.59064
410050216013017,45.451504,-122.59644
410050216012006,45.452503,-122.58594
410050203041021,45.428024,-122.74261
410050203041010,45.42794,-122.73962
410050209001005,45.460335,-122.61744
410050203041001,45.430576,-122.73726
410050203041023,45.427673,-122.7416
410050203041000,45.432396,-122.73532
410050201001084,45.425926,-122.69133
410050209001006,45.459534,-122.62155
410050210001035,45.45319,-122.60365
410050210002015,45.455929,-122.61785
410050210002026,45.45956,-122.61031
410050216011005,45.457458,-122.58459
410050222011003,45.453617,-122.57464
410050232012004,45.460423,-122.46827
410050208002025,45.44408,-122.63475
410050209002001,45.457726,-122.6244
410050210003003,45.451736,-122.61572
410050211001015,45.444553,-122.62582
410050211001010,45.44556,-122.62331
410050211001022,45.442024,-122.62074
410050211002020,45.440948,-122.61811
410050203031009,45.432903,-122.72435
410050203032012,45.428318,-122.7067
410050222082038,45.451988,-122.51497
410050222081046,45.453503,-122.48882
410050208001053,45.445808,-122.64226
410050208002006,45.446186,-122.63859
410050222061025,45.450371,-122.56237
410050222062040,45.44767,-122.5424
410050209001010,45.460789,-122.62847
410050208002013,45.443626,-122.63943
410050209001019,45.459637,-122.63134
410050209003011,45.447128,-122.63076
410050208002027,45.444202,-122.63189
410050209002005,45.456146,-122.63405
410050208003015,45.441124,-122.6284
410050208002034,45.437168,-122.62624
410050222062000,45.458179,-122.55452
410050222081014,45.44524,-122.50251
410050215001053,45.435013,-122.62853
410050222081002,45.460766,-122.49557
410050222082036,45.460297,-122.51566
410050201001093,45.424,-122.68195
410050209003010,45.452164,-122.62119
410050209003002,45.452587,-122.62403
410050210002019,45.455406,-122.60995
410050211002003,45.446259,-122.61826
410050210002016,45.453342,-122.61092
410050211002009,45.44553,-122.6157
410050211002006,45.446957,-122.61311
410050210001009,45.457211,-122.60597
410050210001024,45.455105,-122.60163
410050210001018,45.456219,-122.59988
410050216014025,45.455761,-122.59611
410050216013001,45.455105,-122.59425
410050222062020,45.452259,-122.55072
410050216013012,45.451843,-122.59402
410050216011011,45.454647,-122.59179
410050216011015,45.453724,-122.58597
410050216011022,45.453491,-122.58185
410050222011004,45.455818,-122.57347
410050203041020,45.42971,-122.74347
410050216011003,45.457596,-122.58396
410050222062019,45.454739,-122.54118
410050201002007,45.427254,-122.6736
410050201002024,45.426224,-122.67381
410050201001078,45.424782,-122.69917
410050201002002,45.426113,-122.67596
410050208001043,45.45647,-122.6496
410050201002026,45.426102,-122.67255
410050201002042,45.424774,-122.67223
410050201002040,45.424637,-122.671
410050208001036,45.449558,-122.64735
410050208001005,45.457458,-122.63784
410050208002009,45.445099,-122.64209
410050222061046,45.454666,-122.5692
410050209002002,45.457405,-122.62802
410050209001018,45.459671,-122.63234
410050211001017,45.446365,-122.63007
410050222082021,45.45483,-122.53123
410050222081035,45.45039,-122.49386
410050222082004,45.459648,-122.51505
410050222081047,45.453106,-122.48851
410050211002013,45.444347,-122.61359
410050210002010,45.458221,-122.61581
410050210002003,45.460667,-122.61117
410050211001009,45.445553,-122.62083
410050210001007,45.45821,-122.606
410050216014013,45.460999,-122.6007
410050216014020,45.458996,-122.59323
410050216014016,45.460438,-122.59064
410050222011007,45.458706,-122.57678
410050222061022,45.450394,-122.56581
410050203032004,45.430992,-122.70522
410050222062028,45.45406,-122.56291
410050201001015,45.429661,-122.66719
410510018013037,45.523235,-122.6059
410510015003004,45.515987,-122.6119
410510015003002,45.515984,-122.60936
410510018022020,45.51701,-122.60835
410510015003007,45.514832,-122.60978
410510070003008,45.602638,-122.86467
410510015003001,45.51598,-122.60835
410510018022004,45.518913,-122.60738
410510018022017,45.518021,-122.60835
410510018021022,45.520992,-122.60625
410510018021023,45.520306,-122.60626
410510018021019,45.519611,-122.60626
410510018022018,45.518013,-122.60737
410510018022003,45.518353,-122.60557
410510018022002,45.518009,-122.60313
410510015003000,45.51598,-122.60732
410510018022022,45.517094,-122.60554
410510015001000,45.516403,-122.60447
410510018011003,45.528191,-122.60352
410510018011004,45.527409,-122.60698
410510102003111,45.557556,-122.49608
410510018012008,45.5261,-122.60327
410510018012009,45.525375,-122.60328
410510018012021,45.524647,-122.60329
410510018021006,45.522228,-122.60313
410510003024048,45.462162,-122.63519
410510018021008,45.522453,-122.60545
410510018012022,45.523575,-122.60381
410510018012020,45.523571,-122.6028
410510018011015,45.529182,-122.60023
410510018011024,45.527767,-122.60175
410510018011025,45.526852,-122.60097
410510018012007,45.526154,-122.60156
410510018012010,45.524994,-122.60157
410510018011023,45.527767,-122.60076
410510018011022,45.528667,-122.59953
410510018011027,45.527744,-122.59917
410510018012011,45.523514,-122.60024
410510018021005,45.521053,-122.6017
410510018021004,45.522419,-122.60032
410510018021020,45.520451,-122.60366
410510018021024,45.520615,-122.60033
410510015001003,45.515469,-122.60339
410510018022000,45.518005,-122.60071
410510003024047,45.463867,-122.62848
410510016014001,45.515152,-122.59758
410510016016021,45.517086,-122.5986
410510016016016,45.518188,-122.59917
410510076001021,45.563046,-122.59256
410510075001009,45.560966,-122.59764
410510075001010,45.559906,-122.59895
410510075001016,45.559399,-122.59837
410510075001017,45.558712,-122.59867
410510075001019,45.557926,-122.59904
410510076002014,45.557453,-122.59818
410510076002004,45.560261,-122.59389
410510076002013,45.558582,-122.59773
410510076002015,45.557495,-122.59626
410510076002012,45.558636,-122.59625
410510076002011,45.558628,-122.59422
410510029014009,45.553162,-122.59881
410510029014005,45.554657,-122.59779
410510076002020,45.556129,-122.59626
410510029014004,45.554657,-122.59678
410510076002021,45.556126,-122.59423
410510029014011,45.553162,-122.59679
410510003025012,45.468479,-122.62931
410510029014002,45.553955,-122.59425
410510029014012,45.553162,-122.59578
410510029014001,45.554653,-122.59272
410510076002022,45.556126,-122.5922
410510073001187,45.563221,-122.56992
410510076001023,45.560936,-122.58833
410510076002017,45.557484,-122.59109
