OID_,GEOID,INTPTLAT,NAME,COALIT,INTPTLON,COUNT,SUM_SQ_FT
9697,410510039024001,+45.5764969,ARBOR LODGE,NPNS,-122.7024841,10.000000000000000,13821.000000000000000
9698,410510092031012,+45.5073869,HAZELWOOD,EPCO,-122.5238697,44.000000000000000,81992.000000000000000
9699,410510083011014,+45.4944649,LENTS,EPCO,-122.5783052,1.000000000000000,5133.000000000000000
9700,410510095013010,+45.5443118,WILKES,EPCO,-122.5071371,2.000000000000000,11051.000000000000000
9701,410510034022019,+45.5514210,BOISE,NECN,-122.6698460,8.000000000000000,9793.000000000000000
9702,410510015001018,+45.5067030,MT. TABOR,SEUL,-122.6043546,54.000000000000000,68015.000000000000000
9703,410510006011005,+45.4860270,LENTS,EPCO,-122.5648483,5.000000000000000,82716.000000000000000
9704,410510005014025,+45.4836526,MT. SCOTT-ARLETA,SEUL,-122.5961608,19.000000000000000,20757.000000000000000
9705,410510013022013,+45.5064188,RICHMOND,SEUL,-122.6248184,18.000000000000000,21943.000000000000000
9706,410510038012013,+45.5784701,KENTON,NPNS,-122.6858095,26.000000000000000,31432.000000000000000
9707,410510094005005,+45.5344065,WILKES,EPCO,-122.5055010,11.000000000000000,29841.000000000000000
9708,410510017021024,+45.5267140,MONTAVILLA,SEUL,-122.5696023,9.000000000000000,9890.000000000000000
9709,410510037023014,+45.5658061,HUMBOLDT,NECN,-122.6704409,12.000000000000000,16231.000000000000000
9710,410510079002021,+45.5490348,PARKROSE,EPCO,-122.5562510,53.000000000000000,96917.000000000000000
9711,410510034012023,+45.5550579,HUMBOLDT,NECN,-122.6651831,19.000000000000000,18963.000000000000000
9712,410510034013018,+45.5550433,HUMBOLDT,NECN,-122.6739176,17.000000000000000,19871.000000000000000
9713,410510034023023,+45.5502110,BOISE,NECN,-122.6750152,5.000000000000000,59536.000000000000000
9714,410510081002019,+45.5271888,HAZELWOOD,EPCO,-122.5489306,30.000000000000000,27826.000000000000000
9715,410510005013024,+45.4780315,MT. SCOTT-ARLETA,SEUL,-122.5983438,18.000000000000000,20971.000000000000000
9716,410510037011006,+45.5782840,PIEDMONT,NPNS,-122.6659015,23.000000000000000,24216.000000000000000
9717,410510014004009,+45.5063412,RICHMOND,SEUL,-122.6122225,28.000000000000000,40206.000000000000000
