OID_,GEOID,INTPTLAT,INTPTLON,COUNT,SUM_SQ_FT
93,410510025024022,+45.5354707,-122.6396145,5.000000000000000,7574.000000000000000
94,410510014002021,+45.5127971,-122.6177371,34.000000000000000,52442.000000000000000
95,410050208003005,+45.4409871,-122.6314265,28.000000000000000,35600.000000000000000
96,410510031001001,+45.5621085,-122.6314496,13.000000000000000,13362.000000000000000
97,410510017021034,+45.5272341,-122.5759693,6.000000000000000,61239.000000000000000
98,410510074002003,+45.5694338,-122.6134573,4.000000000000000,37125.000000000000000
99,410510011012018,+45.5154182,-122.6531490,10.000000000000000,15874.000000000000000
100,410510043001164,+45.5465302,-122.7164856,1.000000000000000,204679.000000000000000
101,410510081003033,+45.5293145,-122.5681369,19.000000000000000,23542.000000000000000
102,410510008024009,+45.4941855,-122.6136311,19.000000000000000,24326.000000000000000
103,410510086001005,+45.4751895,-122.5847964,25.000000000000000,32236.000000000000000
104,410050211001020,+45.4427818,-122.6227089,6.000000000000000,8200.000000000000000
105,410510036024011,+45.5736702,-122.6474878,21.000000000000000,24735.000000000000000
106,410050208001020,+45.4556857,-122.6432118,2.000000000000000,27562.000000000000000
107,410519800001034,+45.5714903,-122.7167456,1.000000000000000,58032.000000000000000
108,410050211002020,+45.4409486,-122.6181114,24.000000000000000,36210.000000000000000
109,410510029014031,+45.5503549,-122.5937718,27.000000000000000,28431.000000000000000
110,410510006024022,+45.4800373,-122.5782083,9.000000000000000,15152.000000000000000
111,410510043001117,+45.5540480,-122.7288734,12.000000000000000,457876.000000000000000
112,410510011021097,+45.5061608,-122.6572698,5.000000000000000,20269.000000000000000
113,410510069002026,+45.5008047,-122.7285578,68.000000000000000,173267.000000000000000
114,410510031004024,+45.5485957,-122.6364601,11.000000000000000,11826.000000000000000
115,410510034011011,+45.5621765,-122.6677291,2.000000000000000,26017.000000000000000
116,410510037014002,+45.5831900,-122.6720198,2.000000000000000,7346.000000000000000
117,410510045001007,+45.5386367,-122.6879099,31.000000000000000,156733.000000000000000
118,410510038013022,+45.5779793,-122.6893045,15.000000000000000,22156.000000000000000
119,410050201001026,+45.4307946,-122.6620212,21.000000000000000,77900.000000000000000
120,410510016014001,+45.5151524,-122.5975807,40.000000000000000,67715.000000000000000
121,410510041011048,+45.5928715,-122.7311335,13.000000000000000,30069.000000000000000
122,410510037014018,+45.5768570,-122.6695899,30.000000000000000,36501.000000000000000
