OID_,geoid,intptlat,intptlon,NAME,COALIT
900,410510008024004.000000000000000,45.496070861816406,-122.621688842773438,CRESTON-KENILWORTH,SEUL
901,410510008014011.000000000000000,45.502292633056641,-122.619209289550781,RICHMOND,SEUL
902,410510008014019.000000000000000,45.498233795166016,-122.620666503906250,RICHMOND,SEUL
903,410510009012008.000000000000000,45.499439239501953,-122.623229980468750,RICHMOND,SEUL
904,410510009021000.000000000000000,45.496677398681641,-122.623245239257812,CRESTON-KENILWORTH,SEUL
905,410510008014017.000000000000000,45.499057769775391,-122.617446899414062,RICHMOND,SEUL
906,410510089021033.000000000000000,45.466312408447266,-122.566970825195312,LENTS,EPCO
907,410510009021007.000000000000000,45.494411468505859,-122.623619079589844,CRESTON-KENILWORTH,SEUL
908,410510008024005.000000000000000,45.494037628173828,-122.620780944824219,CRESTON-KENILWORTH,SEUL
909,410510009021016.000000000000000,45.490646362304688,-122.623672485351562,CRESTON-KENILWORTH,SEUL
910,410510008023015.000000000000000,45.492843627929688,-122.620811462402344,CRESTON-KENILWORTH,SEUL
911,410510008023016.000000000000000,45.492019653320312,-122.620803833007812,CRESTON-KENILWORTH,SEUL
912,410510008023026.000000000000000,45.491333007812500,-122.620811462402344,CRESTON-KENILWORTH,SEUL
913,410510008023014.000000000000000,45.492542266845703,-122.617897033691406,CRESTON-KENILWORTH,SEUL
914,410510008024006.000000000000000,45.494529724121094,-122.618171691894531,CRESTON-KENILWORTH,SEUL
915,410510008024018.000000000000000,45.493846893310547,-122.618171691894531,CRESTON-KENILWORTH,SEUL
916,410510008014012.000000000000000,45.502292633056641,-122.617080688476562,RICHMOND,SEUL
917,410510008014013.000000000000000,45.501602172851562,-122.617477416992188,RICHMOND,SEUL
918,410510008013008.000000000000000,45.502292633056641,-122.615768432617188,RICHMOND,SEUL
919,410510008013000.000000000000000,45.504825592041016,-122.611518859863281,RICHMOND,SEUL
920,410510089021020.000000000000000,45.468841552734375,-122.564682006835938,LENTS,EPCO
921,410510008013012.000000000000000,45.499980926513672,-122.614578247070312,RICHMOND,SEUL
922,410510008013015.000000000000000,45.499259948730469,-122.613555908203125,RICHMOND,SEUL
923,410510008013013.000000000000000,45.499946594238281,-122.611953735351562,RICHMOND,SEUL
924,410510008013021.000000000000000,45.497882843017578,-122.613563537597656,RICHMOND,SEUL
925,410510008024000.000000000000000,45.496883392333984,-122.612022399902344,CRESTON-KENILWORTH,SEUL
926,410510008013020.000000000000000,45.497871398925781,-122.611961364746094,RICHMOND,SEUL
927,410510008013022.000000000000000,45.497886657714844,-122.615447998046875,RICHMOND,SEUL
928,410510008024019.000000000000000,45.493843078613281,-122.616638183593750,CRESTON-KENILWORTH,SEUL
929,410510008024008.000000000000000,45.494525909423828,-122.614982604980469,CRESTON-KENILWORTH,SEUL
930,410510008023024.000000000000000,45.491127014160156,-122.617309570312500,CRESTON-KENILWORTH,SEUL
931,410510004011008.000000000000000,45.489391326904297,-122.617301940917969,WOODSTOCK,SEUL
932,410510008024007.000000000000000,45.494525909423828,-122.616638183593750,CRESTON-KENILWORTH,SEUL
933,410510008023013.000000000000000,45.492538452148438,-122.615852355957031,CRESTON-KENILWORTH,SEUL
934,410510004011009.000000000000000,45.489910125732422,-122.618766784667969,WOODSTOCK,SEUL
935,410510008023003.000000000000000,45.493312835693359,-122.615859985351562,CRESTON-KENILWORTH,SEUL
936,410510008023023.000000000000000,45.491127014160156,-122.616333007812500,CRESTON-KENILWORTH,SEUL
937,410510004013058.000000000000000,45.476638793945312,-122.609390258789062,WOODSTOCK,SEUL
938,410510087003000.000000000000000,45.475166320800781,-122.609703063964844,BRENTWOOD-DARLINGTON,SEUL
939,410510066022001.000000000000000,45.475082397460938,-122.705238342285156,MULTNOMAH,SWCS
940,410510087003008.000000000000000,45.472240447998047,-122.610961914062500,BRENTWOOD-DARLINGTON,SEUL
941,410510087003015.000000000000000,45.471542358398438,-122.610984802246094,BRENTWOOD-DARLINGTON,SEUL
942,410510087002009.000000000000000,45.473114013671875,-122.606071472167969,BRENTWOOD-DARLINGTON,SEUL
943,410510087002004.000000000000000,45.474651336669922,-122.607521057128906,BRENTWOOD-DARLINGTON,SEUL
944,410510087002010.000000000000000,45.473102569580078,-122.608512878417969,BRENTWOOD-DARLINGTON,SEUL
945,410510004023027.000000000000000,45.476661682128906,-122.606750488281250,WOODSTOCK,SEUL
946,410510087002008.000000000000000,45.472259521484375,-122.606079101562500,BRENTWOOD-DARLINGTON,SEUL
947,410510087002007.000000000000000,45.471508026123047,-122.606094360351562,BRENTWOOD-DARLINGTON,SEUL
948,410510087003014.000000000000000,45.470844268798828,-122.610992431640625,BRENTWOOD-DARLINGTON,SEUL
949,410510087003017.000000000000000,45.470153808593750,-122.610992431640625,BRENTWOOD-DARLINGTON,SEUL
950,410510088003002.000000000000000,45.467617034912109,-122.608558654785156,BRENTWOOD-DARLINGTON,SEUL
951,410510087003023.000000000000000,45.468780517578125,-122.610488891601562,BRENTWOOD-DARLINGTON,SEUL
952,410510087002013.000000000000000,45.470592498779297,-122.608673095703125,BRENTWOOD-DARLINGTON,SEUL
953,410510087002014.000000000000000,45.469680786132812,-122.608673095703125,BRENTWOOD-DARLINGTON,SEUL
