OID_,gidbk20,intptlat20,intptlon20,DISTRICT
1033,410510050012021.000000000000000,45.527562799999998,-122.683807400000006,4
1034,410510017034018.000000000000000,45.530964400000002,-122.587277799999995,3
1036,410510094003006.000000000000000,45.540191700000001,-122.521354500000001,1
1037,410510082011026.000000000000000,45.512316900000002,-122.550914500000005,1
1040,410510067021021.000000000000000,45.476495000000000,-122.702252099999995,4
1044,410510025015004.000000000000000,45.544390999999997,-122.643687999999997,2
1045,410510002021018.000000000000000,45.482736400000000,-122.646443700000006,4
1046,410510059032009.000000000000000,45.479894899999998,-122.672396000000006,4
1047,410510063003009.000000000000000,45.460647899999998,-122.687611700000005,4
1053,410510035022020.000000000000000,45.552779999999998,-122.684603999999993,2
1054,410510092031013.000000000000000,45.506061199999998,-122.522011899999995,1
1058,410510056012001.000000000000000,45.515816000000001,-122.684959800000001,4
1060,410510039042018.000000000000000,45.577453800000001,-122.696046600000003,2
1062,410510035021035.000000000000000,45.550512200000000,-122.678147100000004,2
1064,410510045001042.000000000000000,45.537176899999999,-122.703898899999999,4
1066,410510011011106.000000000000000,45.513302600000003,-122.660257900000005,3
1069,410510089023030.000000000000000,45.468653400000001,-122.553187199999996,1
1075,410510001022026.000000000000000,45.468995800000002,-122.651991600000002,4
1078,410510062001022.000000000000000,45.465373999999997,-122.683951399999998,4
1080,410510037022037.000000000000000,45.563300300000002,-122.667717300000007,2
1081,410510029011022.000000000000000,45.553033300000003,-122.578965499999995,3
1086,410510036023033.000000000000000,45.565384700000003,-122.648528799999994,2
1088,410510091024014.000000000000000,45.488005399999999,-122.519372899999993,1
1090,410510018011009.000000000000000,45.529180699999998,-122.600224999999995,3
1095,410510016011024.000000000000000,45.515833499999999,-122.584251199999997,3
1097,410510063001002.000000000000000,45.458318599999998,-122.679352199999997,4
1099,410510029014036.000000000000000,45.550021000000001,-122.603606499999998,2
1100,410510061001017.000000000000000,45.485261399999999,-122.700954899999999,4
1102,410510055002000.000000000000000,45.516356500000001,-122.686996100000002,4
1105,410510017043012.000000000000000,45.524509899999998,-122.580316900000000,3
1106,410510059012024.000000000000000,45.497203800000001,-122.674399899999997,4
1112,410510062003004.000000000000000,45.460183899999997,-122.700504800000004,4
1116,410510018013019.000000000000000,45.525434300000001,-122.609545699999998,3
1117,410510040024077.000000000000000,45.578729299999999,-122.725690099999994,2
1118,410670305021000.000000000000000,45.466492700000003,-122.745341800000006,4
1120,410510087002002.000000000000000,45.473565100000002,-122.603512499999994,3
1121,410510093021008.000000000000000,45.527132399999999,-122.532346899999993,1
1122,410510040035021.000000000000000,45.585800499999998,-122.727849399999997,2
1123,410510006022000.000000000000000,45.474032600000001,-122.569182699999999,1
1124,410510004012005.000000000000000,45.485181400000002,-122.613924600000004,3
1125,410510064031019.000000000000000,45.441457499999999,-122.724093300000007,4
1129,410510004013017.000000000000000,45.479900899999997,-122.616455000000002,3
1134,410670305021007.000000000000000,45.465603100000003,-122.745374699999999,4
1135,410510003012002.000000000000000,45.482430700000002,-122.623123100000001,4
1136,410510034014006.000000000000000,45.562280999999999,-122.673448899999997,2
1137,410510011011066.000000000000000,45.516152499999997,-122.664818699999998,3
1139,410510066011007.000000000000000,45.473494500000001,-122.731034500000007,4
1140,410510031002046.000000000000000,45.555850999999997,-122.634093500000006,2
1141,410510064032003.000000000000000,45.450150000000001,-122.722694700000005,4
1142,410510083011001.000000000000000,45.493885800000001,-122.567077999999995,1
1143,410510097011011.000000000000000,45.509513099999999,-122.499621000000005,1
1147,410510040023048.000000000000000,45.578501000000003,-122.740734099999997,2
1150,410510022031049.000000000000000,45.541469599999999,-122.673954899999998,2
1151,410510045002019.000000000000000,45.536995599999997,-122.714227899999997,4
1153,410510082031020.000000000000000,45.515870000000000,-122.538309299999995,1
1154,410510017034003.000000000000000,45.534491699999997,-122.587702399999998,3
1155,410510008014018.000000000000000,45.501571599999998,-122.618787800000007,3
1156,410510017041016.000000000000000,45.519757900000002,-122.586344299999993,3
1157,410510036012026.000000000000000,45.575893999999998,-122.650900500000006,2
1161,410510037011001.000000000000000,45.581304099999997,-122.665677799999997,2
1169,410510003022018.000000000000000,45.475495000000002,-122.622166300000004,3
1174,410510095012002.000000000000000,45.549295800000003,-122.501090099999999,1
1175,410510035013000.000000000000000,45.559453300000001,-122.683553500000002,2
1178,410510041024027.000000000000000,45.590408799999999,-122.744010500000002,2
1180,410510035013003.000000000000000,45.558076999999997,-122.690967999999998,2
1181,410510040023006.000000000000000,45.584089300000002,-122.737109500000003,2
1186,410510040031004.000000000000000,45.590432300000003,-122.718470800000006,2
1187,410510035011019.000000000000000,45.557479100000002,-122.678909500000003,2
1188,410510064032014.000000000000000,45.445725899999999,-122.713965099999996,4
1189,410510068022010.000000000000000,45.488162400000000,-122.726318899999995,4
1193,410510102003018.000000000000000,45.585499800000001,-122.544671500000007,1
1195,410510094003020.000000000000000,45.535295900000001,-122.513924700000004,1
1204,410510013011000.000000000000000,45.518937500000000,-122.623712200000000,3
1206,410510034014001.000000000000000,45.562175000000003,-122.670318199999997,2
1212,410510033022033.000000000000000,45.548880099999998,-122.658142699999999,2
1215,410510034023012.000000000000000,45.552693800000000,-122.673127800000003,2
1222,410510018022016.000000000000000,45.518019099999997,-122.608345700000001,3
1226,410510057024006.000000000000000,45.512050799999997,-122.679501400000007,4
1227,410510004011001.000000000000000,45.489387299999997,-122.610477599999996,3
1232,410510021011001.000000000000000,45.522557599999999,-122.655130499999999,3
1233,410510023031038.000000000000000,45.532907100000003,-122.671189900000002,2
1237,410510072012011.000000000000000,45.609325800000001,-122.678545999999997,2
1238,410510041023032.000000000000000,45.583720999999997,-122.750532199999995,2
1244,410510001023016.000000000000000,45.464677500000001,-122.650014999999996,4
1247,410510011011035.000000000000000,45.517618400000003,-122.664537100000004,3
1251,410510039031022.000000000000000,45.582977200000002,-122.709992000000000,2
1252,410510036032010.000000000000000,45.566357400000001,-122.629146599999999,2
1255,410510021023008.000000000000000,45.523249300000003,-122.649038599999997,3
1257,410510027022009.000000000000000,45.532868600000000,-122.617992000000001,2
1260,410510106022027.000000000000000,45.519142500000001,-122.680284900000004,4
1261,410510002011022.000000000000000,45.467989699999997,-122.646045299999997,4
1263,410510037023031.000000000000000,45.563297400000003,-122.669200599999996,2
1267,410510018012022.000000000000000,45.524647000000002,-122.603291999999996,3
